"year","mode","relations","percentage"
"2007","bus",20,80
"2007","trolleybus",0,0
"2007","share_taxi",0,0
"2007","train",1,4
"2007","light_rail",0,0
"2007","subway",1,4
"2007","tram",1,4
"2007","ferry",2,8
"2008","bus",1151,69.5
"2008","trolleybus",1,0.06
"2008","share_taxi",0,0
"2008","train",60,3.62
"2008","light_rail",31,1.87
"2008","subway",32,1.93
"2008","tram",376,22.71
"2008","ferry",5,0.3
"2009","bus",8598,77.89
"2009","trolleybus",67,0.61
"2009","share_taxi",0,0
"2009","train",870,7.88
"2009","light_rail",130,1.18
"2009","subway",268,2.43
"2009","tram",974,8.82
"2009","ferry",132,1.2
"2010","bus",19534,80.52
"2010","trolleybus",461,1.9
"2010","share_taxi",161,0.66
"2010","train",1636,6.74
"2010","light_rail",169,0.7
"2010","subway",469,1.93
"2010","tram",1475,6.08
"2010","ferry",355,1.46
"2011","bus",31771,81.06
"2011","trolleybus",1102,2.81
"2011","share_taxi",367,0.94
"2011","train",2428,6.19
"2011","light_rail",273,0.7
"2011","subway",603,1.54
"2011","tram",2211,5.64
"2011","ferry",440,1.12
"2012","bus",51437,82.78
"2012","trolleybus",1618,2.6
"2012","share_taxi",664,1.07
"2012","train",3668,5.9
"2012","light_rail",391,0.63
"2012","subway",705,1.13
"2012","tram",3041,4.89
"2012","ferry",616,0.99
"2013","bus",76996,85.26
"2013","trolleybus",2075,2.3
"2013","share_taxi",1209,1.34
"2013","train",4509,4.99
"2013","light_rail",471,0.52
"2013","subway",841,0.93
"2013","tram",3464,3.84
"2013","ferry",746,0.83
"2014","bus",95074,86.43
"2014","trolleybus",2396,2.18
"2014","share_taxi",1541,1.4
"2014","train",5037,4.58
"2014","light_rail",420,0.38
"2014","subway",909,0.83
"2014","tram",3727,3.39
"2014","ferry",892,0.81
"2015","bus",110378,86.73
"2015","trolleybus",2547,2
"2015","share_taxi",1772,1.39
"2015","train",6009,4.72
"2015","light_rail",527,0.41
"2015","subway",1002,0.79
"2015","tram",4003,3.15
"2015","ferry",1033,0.81
"2016","bus",123356,86.86
"2016","trolleybus",2643,1.86
"2016","share_taxi",1793,1.26
"2016","train",7024,4.95
"2016","light_rail",669,0.47
"2016","subway",1104,0.78
"2016","tram",4284,3.02
"2016","ferry",1145,0.81
"2017","bus",138382,87.57
"2017","trolleybus",2724,1.72
"2017","share_taxi",1662,1.05
"2017","train",7572,4.79
"2017","light_rail",720,0.46
"2017","subway",1304,0.83
"2017","tram",4413,2.79
"2017","ferry",1250,0.79
"2018","bus",156402,88.12
"2018","trolleybus",2819,1.59
"2018","share_taxi",1974,1.11
"2018","train",8024,4.52
"2018","light_rail",698,0.39
"2018","subway",1598,0.9
"2018","tram",4406,2.48
"2018","ferry",1566,0.88
"2019","bus",179728,88.76
"2019","trolleybus",2977,1.47
"2019","share_taxi",2196,1.08
"2019","train",8795,4.34
"2019","light_rail",819,0.4
"2019","subway",1801,0.89
"2019","tram",4444,2.19
"2019","ferry",1736,0.86
"2020","bus",203509,88.94
"2020","trolleybus",3027,1.32
"2020","share_taxi",2349,1.03
"2020","train",10424,4.56
"2020","light_rail",843,0.37
"2020","subway",1986,0.87
"2020","tram",4679,2.04
"2020","ferry",1989,0.87
"2021","bus",226553,89.33
"2021","trolleybus",3236,1.28
"2021","share_taxi",2511,0.99
"2021","train",11056,4.36
"2021","light_rail",852,0.34
"2021","subway",2146,0.85
"2021","tram",4743,1.87
"2021","ferry",2515,0.99
"2022","bus",247635,89.71
"2022","trolleybus",3451,1.25
"2022","share_taxi",2031,0.74
"2022","train",11778,4.27
"2022","light_rail",959,0.35
"2022","subway",2240,0.81
"2022","tram",4787,1.73
"2022","ferry",3146,1.14
"2023","bus",273562,89.76
"2023","trolleybus",3520,1.16
"2023","share_taxi",2699,0.89
"2023","train",13262,4.35
"2023","light_rail",1028,0.34
"2023","subway",2332,0.77
"2023","tram",4770,1.57
"2023","ferry",3584,1.18
"2024","bus",299519,89.75
"2024","trolleybus",3669,1.1
"2024","share_taxi",2622,0.79
"2024","train",15603,4.68
"2024","light_rail",1005,0.3
"2024","subway",2442,0.73
"2024","tram",4967,1.49
"2024","ferry",3896,1.17
"2025","bus",325785,90.03
"2025","trolleybus",3717,1.03
"2025","share_taxi",2463,0.68
"2025","train",16560,4.58
"2025","light_rail",1028,0.28
"2025","subway",2579,0.71
"2025","tram",5120,1.41
"2025","ferry",4619,1.28
"2026","bus",336484,90.07
"2026","trolleybus",3814,1.02
"2026","share_taxi",2554,0.68
"2026","train",17383,4.65
"2026","light_rail",1023,0.27
"2026","subway",2533,0.68
"2026","tram",5110,1.37
"2026","ferry",4665,1.25
